,TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT,PRE_COVID_DIP,BOTTOM_COVID_DIP,EOY_2021,CURRENT_PRICE,COVID_BOTTOM_TO_2021_TOP,COVID_BOTTOM_TO_2021_TOP_PERCENT,CURRENT_FROM_COVID_BOTTOM_PRICE,CURRENT_FROM_PRE_COVID_PRICE,VALUE_LEFT_TO_DECREASE,VALUE_LEFT_TO_DECREASE_PERCENT
4708,JKS.US,D,2020-02-14,000000,25.82,26.7,25.45,25.5,2160603,0,25.5,13.32,45.96,67.24,32.64,2.4504504504504503,53.919999999999995,41.739999999999995,53.919999999999995,404.8048048048048
1216,BLDR.US,D,2020-02-14,000000,27.53,27.8418,26.94,27.19,1200969,0,27.19,11.4,85.71,57.46,74.30999999999999,6.518421052631577,46.06,30.27,46.06,404.03508771929825
6556,PAG.US,D,2020-02-14,000000,49.8411,50.0482,49.3115,49.4927,242883.1660455,0,49.4927,21.2719,106.24,106.78,84.96809999999999,3.9943822601648185,85.5081,57.2873,85.5081,401.9767862767313
1876,CLF.US,D,2020-02-14,000000,7.5292,7.5587,7.2044,7.2733,9775131,0,7.2733,3.1396,21.77,15.76,18.630399999999998,5.934004331762007,12.6204,8.486699999999999,12.6204,401.9747738565422
5600,MOS.US,D,2020-02-14,000000,18.682,18.966,18.24,18.338,8503267,0,18.338,9.4066,39.205,46.92,29.7984,3.167818340314248,37.513400000000004,28.582,37.513400000000004,398.79871579529276
2532,DKS.US,D,2020-02-14,000000,40.671,40.976,39.866,39.894,1029368,0,39.894,15.506,114.48,76.85,98.974,6.382948536050561,61.343999999999994,36.955999999999996,61.343999999999994,395.6146007996904
5612,MPC.US,D,2020-02-14,000000,53.3791,53.6912,52.0343,52.2857,7599491.9071373,0,52.2857,17.1572,63.1391,84.48,45.981899999999996,2.6800352038794206,67.3228,32.194300000000005,67.3228,392.3880353437624
1156,BHVN.US,D,2020-02-14,000000,45.91,46.71,45.2,45.33,459337,0,45.33,29.59,137.81,145.31,108.22,3.657316661034133,115.72,99.98,115.72,391.07806691449815
1296,BORR.US,D,2020-02-14,000000,8.36,8.4642,8.28,8.3984,14996,0,8.3984,0.8998,2.06,4.36,1.1602000000000001,1.2893976439208714,3.4602000000000004,-4.0384,3.4602000000000004,384.552122693932
3352,FET.US,D,2020-02-14,000000,22.8,23.2,20.2,20.4,33731,0,20.4,4.0,16.05,19.31,12.05,3.0125,15.309999999999999,-1.0899999999999999,15.309999999999999,382.74999999999994
7452,RYI.US,D,2020-02-14,000000,9.72,9.72,9.3236,9.3435,64572,0,9.3435,4.4836,25.95,21.56,21.4664,4.787759835846195,17.0764,12.216499999999998,17.0764,380.86359175662415
4976,KRP.US,D,2020-02-14,000000,11.25,11.278,10.954,11.129,170070,0,11.129,3.3857,12.928,16.22,9.542300000000001,2.8184127359187174,12.834299999999999,5.090999999999999,12.834299999999999,379.0737513660395
7608,SEAS.US,D,2020-02-14,000000,36.37,36.905,36.27,36.88,563966,0,36.88,9.75,64.86,46.34,55.11,5.6523076923076925,36.59,9.46,36.59,375.28205128205127
9052,VOC.US,D,2020-02-14,000000,3.2196,3.2196,3.1553,3.1813,47404,0,3.1813,1.4413,4.325,6.81,2.8837,2.000763199888989,5.3687,3.6287,5.3687,372.49011309234714
2216,CTR.US,D,2020-02-14,000000,33.6734,33.9121,33.5516,33.7932,40969.349320686,0,33.7932,5.57769,22.9109,26.31,17.33321,3.107596513969045,20.73231,-7.4832,20.73231,371.70065026919747
6936,POLY.US,D,2020-02-14,000000,14.584,14.792,14.446,14.594,1611641,0,14.594,8.42,29.34,39.68,20.92,2.484560570071259,31.259999999999998,25.086,31.259999999999998,371.2589073634204
8852,USAC.US,D,2020-02-14,000000,10.913,11.029,10.772,10.784,477848,0,10.784,3.6664,16.455,17.25,12.788599999999999,3.4880536766310275,13.5836,6.465999999999999,13.5836,370.4887628191142
4420,IDT.US,D,2020-02-14,000000,8.1248,8.24,8.0508,8.23,30143,0,8.23,5.2,44.16,24.46,38.959999999999994,7.492307692307691,19.26,16.23,19.26,370.3846153846154
3088,EQT.US,D,2020-02-14,000000,5.41143,5.51258,5.24699,5.27191,6219868.7811123,0,5.27191,7.42452,21.7354,34.27,14.310879999999997,1.9275158528766838,26.845480000000002,28.998090000000005,26.845480000000002,361.57866097741
